200	200	0	1	0.8	0.148007	0.00222819
100	100	0	1	0.8	0.0743265	0.00218879
50	50	0	1	0.8	0.0365077	0.00155749
20	20	0	1	0.8	0.0139448	0.000605136
30	30	0	1	0.8	0.0218182	0.000788282
100	100	0	1	0.8	0.071963	0.00178225
300	300	0	1	0.8	0.221341	0.00353158
350	350	0	1	0.8	0.259353	0.0027249
900	900	0	1	0.8	0.6573	0.00341687
1400	1367.05	8.71371	1	0.8	0.980631	0.00519503
1000	1000	0	1	0.8	0.731751	0.00451951
900	900	0	1	0.8	0.65716	0.00358074
800	800	0	1	0.8	0.585135	0.00300086
650	650	0	1	0.8	0.477161	0.00349857
600	600	0	1	0.8	0.437249	0.00484407
550	550	0	1	0.8	0.40766	0.0046468
700	700	0	1	0.8	0.514966	0.00401539
900	900	0	1	0.8	0.660993	0.00376351
1600	1369.2	8.70633	1	0.8	0.98143	0.00561349
1200	1200	0	1	0.8	0.8726	0.00184481
900	900	0	1	0.8	0.661267	0.00316769
300	300	0	1	0.8	0.223104	0.00277655
200	200	0	1	0.8	0.147197	0.00266708
200	200	0	1	0.8	0.147303	0.00234127
474021918
